target,feature,feature_origin,expert_leakage_level,expert_leakage_reason,expert_allowed_P0,expert_allowed_P1,expert_allowed_P2,expert_allowed_P3,expert_allowed_P4,workflow_stage,compiler_leakage_level,compiler_leakage_reason,rule_id,dependency_path,compiler_allowed_P0,compiler_allowed_P1,compiler_allowed_P2,compiler_allowed_P3,compiler_allowed_P4,_merge,class_agreement,P0_agreement,P1_agreement,P2_agreement,P3_agreement,P4_agreement,all_protocols_agree,false_safe,compiler_more_conservative
average_voltage,charge_formula_Z_min,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_Z_min -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_Z_range,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_Z_range -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_Z_std,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_Z_std -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_atomic_mass_max,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_max -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_atomic_mass_mean,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_mean -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_atomic_mass_min,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_min -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_atomic_mass_range,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_range -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_atomic_mass_std,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_atomic_mass_std -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Ag,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ag -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Al,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Al -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_As,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_As -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_B,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_B -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Br,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Br -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_C,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_C -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Ca,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ca -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Cl,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Cl -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Co,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Co -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Cr,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Cr -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Cu,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Cu -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_F,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_F -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Fe,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Fe -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_I,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_I -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_K,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_K -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Li,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Li -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Mg,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Mg -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Mn,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Mn -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_N,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_N -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Na,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Na -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Ni,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ni -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_O,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_O -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_P,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_P -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_S,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_S -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Si,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Si -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Ti,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Ti -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_V,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_V -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_Zn,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_Zn -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_frac_transition_metals,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_frac_transition_metals -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_group_max,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_group_max -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_group_mean,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_group_mean -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_group_min,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_group_min -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_group_range,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_group_range -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_group_std,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_group_std -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_has_Br,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_has_Br -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_has_C,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_has_C -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_has_Cl,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_has_Cl -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_has_F,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_has_F -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_has_I,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_has_I -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_has_N,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_has_N -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_has_O,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_has_O -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_has_P,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_has_P -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_has_S,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_has_S -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_has_Si,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_has_Si -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_n_atoms,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_n_atoms -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_n_elements,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_n_elements -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_n_transition_metals,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_n_transition_metals -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_parse_ok,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_parse_ok -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_row_max,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_row_max -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_row_mean,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_row_mean -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_row_min,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_row_min -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_row_range,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_row_range -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_formula_row_std,stoichiometric_window,L0,no direct target relationship identified by  rule-based audit,True,False,False,False,True,electrode_state_stoichiometry,L0,No direct target dependency is identified for this target.,RULE_SAFE_DEFAULT,feature::charge_formula_row_std -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_band_gap,post_dft_electronic_summary,L4,post-DFT descriptor adjacent to computed voltage,True,False,False,True,True,post_dft_electronic,L4,The electronic descriptor is generated in the same post-DFT record and is decision-support only.,RULE_POST_DFT_ELECTRONIC,feature::charge_summary_band_gap -> concept::post_dft_record -> target::average_voltage,True,False,False,True,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_density,relaxed_structure_summary,L0,no direct target relationship identified by  rule-based audit,True,False,True,True,True,relaxed_structure,L0,The relaxed-structure summary is not target-defining for this target.,RULE_SAFE_STRUCTURE,feature::charge_summary_density -> target::average_voltage,True,False,True,True,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_density_atomic,relaxed_structure_summary,L0,no direct target relationship identified by  rule-based audit,True,False,True,True,True,relaxed_structure,L0,The relaxed-structure summary is not target-defining for this target.,RULE_SAFE_STRUCTURE,feature::charge_summary_density_atomic -> target::average_voltage,True,False,True,True,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_energy_above_hull,post_dft_energy_stability_summary,L4,post-DFT descriptor adjacent to computed voltage,True,False,False,True,True,post_dft_thermodynamics,L4,The hull/stability summary is a post-DFT decision-support descriptor for this target.,RULE_HULL_OTHER,feature::charge_summary_energy_above_hull -> concept::post_dft_thermodynamics -> target::average_voltage,True,False,False,True,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_formation_energy_per_atom,post_dft_energy_stability_summary,L2,endpoint formation-energy descriptor can reconstruct computed insertion voltage trends,True,False,False,False,True,post_dft_thermodynamics,L2,Endpoint formation energies can reconstruct insertion-voltage trends.,RULE_FORMATION_ENERGY_VOLTAGE,feature::charge_summary_formation_energy_per_atom -> concept::insertion_energy_difference -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_is_metal,post_dft_electronic_summary,L4,post-DFT descriptor adjacent to computed voltage,True,False,False,True,True,post_dft_electronic,L4,The electronic descriptor is generated in the same post-DFT record and is decision-support only.,RULE_POST_DFT_ELECTRONIC,feature::charge_summary_is_metal -> concept::post_dft_record -> target::average_voltage,True,False,False,True,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_is_stable,post_dft_energy_stability_summary,L4,post-DFT descriptor adjacent to computed voltage,True,False,False,True,True,post_dft_thermodynamics,L4,The hull/stability summary is a post-DFT decision-support descriptor for this target.,RULE_HULL_OTHER,feature::charge_summary_is_stable -> concept::post_dft_thermodynamics -> target::average_voltage,True,False,False,True,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_nsites,relaxed_structure_summary,L0,no direct target relationship identified by  rule-based audit,True,False,True,True,True,relaxed_structure,L0,The relaxed-structure summary is not target-defining for this target.,RULE_SAFE_STRUCTURE,feature::charge_summary_nsites -> target::average_voltage,True,False,True,True,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_symmetry_number,relaxed_structure_summary,L0,no direct target relationship identified by  rule-based audit,True,False,True,True,True,relaxed_structure,L0,The relaxed-structure summary is not target-defining for this target.,RULE_SAFE_STRUCTURE,feature::charge_summary_symmetry_number -> target::average_voltage,True,False,True,True,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_theoretical,post_dft_provenance_flag,L4,post-DFT summary descriptor; decision-support only,True,False,False,False,True,post_dft_provenance,L4,The provenance flag is available only from the post-DFT record.,RULE_POST_DFT_PROVENANCE,feature::charge_summary_theoretical -> concept::post_dft_record -> target::average_voltage,True,False,False,False,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_volume,relaxed_structure_summary,L0,no direct target relationship identified by  rule-based audit,True,False,True,True,True,relaxed_structure,L0,The relaxed-structure summary is not target-defining for this target.,RULE_SAFE_STRUCTURE,feature::charge_summary_volume -> target::average_voltage,True,False,True,True,True,both,True,True,True,True,True,True,True,False,False
average_voltage,charge_summary_volume_per_site,relaxed_structure_summary,L0,no direct target relationship identified by  rule-based audit,True,False,True,True,True,relaxed_structure,L0,The relaxed-structure summary is not target-defining for this target.,RULE_SAFE_STRUCTURE,feature::charge_summary_volume_per_site -> target::average_voltage,True,False,True,True,True,both,True,True,True,True,True,True,True,False,False
