node_id,node_type,label,description,unit,primary_benchmark,feature_origin,workflow_stage
feature::fw_atomic_mass_std,feature,fw_atomic_mass_std,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Ag,feature,fw_frac_Ag,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Al,feature,fw_frac_Al,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_As,feature,fw_frac_As,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_B,feature,fw_frac_B,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Br,feature,fw_frac_Br,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_C,feature,fw_frac_C,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Ca,feature,fw_frac_Ca,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Cl,feature,fw_frac_Cl,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Co,feature,fw_frac_Co,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Cr,feature,fw_frac_Cr,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Cu,feature,fw_frac_Cu,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_F,feature,fw_frac_F,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Fe,feature,fw_frac_Fe,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_I,feature,fw_frac_I,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_K,feature,fw_frac_K,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Li,feature,fw_frac_Li,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Mg,feature,fw_frac_Mg,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Mn,feature,fw_frac_Mn,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_N,feature,fw_frac_N,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Na,feature,fw_frac_Na,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Ni,feature,fw_frac_Ni,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_O,feature,fw_frac_O,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_P,feature,fw_frac_P,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_S,feature,fw_frac_S,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Si,feature,fw_frac_Si,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Ti,feature,fw_frac_Ti,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_V,feature,fw_frac_V,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_Zn,feature,fw_frac_Zn,,,,composition_known_framework,pre_dft_composition
feature::fw_frac_transition_metals,feature,fw_frac_transition_metals,,,,composition_known_framework,pre_dft_composition
feature::fw_group_max,feature,fw_group_max,,,,composition_known_framework,pre_dft_composition
feature::fw_group_mean,feature,fw_group_mean,,,,composition_known_framework,pre_dft_composition
feature::fw_group_min,feature,fw_group_min,,,,composition_known_framework,pre_dft_composition
feature::fw_group_range,feature,fw_group_range,,,,composition_known_framework,pre_dft_composition
feature::fw_group_std,feature,fw_group_std,,,,composition_known_framework,pre_dft_composition
feature::fw_has_Br,feature,fw_has_Br,,,,composition_known_framework,pre_dft_composition
feature::fw_has_C,feature,fw_has_C,,,,composition_known_framework,pre_dft_composition
feature::fw_has_Cl,feature,fw_has_Cl,,,,composition_known_framework,pre_dft_composition
feature::fw_has_F,feature,fw_has_F,,,,composition_known_framework,pre_dft_composition
feature::fw_has_I,feature,fw_has_I,,,,composition_known_framework,pre_dft_composition
feature::fw_has_N,feature,fw_has_N,,,,composition_known_framework,pre_dft_composition
feature::fw_has_O,feature,fw_has_O,,,,composition_known_framework,pre_dft_composition
feature::fw_has_P,feature,fw_has_P,,,,composition_known_framework,pre_dft_composition
feature::fw_has_S,feature,fw_has_S,,,,composition_known_framework,pre_dft_composition
feature::fw_has_Si,feature,fw_has_Si,,,,composition_known_framework,pre_dft_composition
feature::fw_n_atoms,feature,fw_n_atoms,,,,composition_known_framework,pre_dft_composition
feature::fw_n_elements,feature,fw_n_elements,,,,composition_known_framework,pre_dft_composition
feature::fw_n_transition_metals,feature,fw_n_transition_metals,,,,composition_known_framework,pre_dft_composition
feature::fw_parse_ok,feature,fw_parse_ok,,,,composition_known_framework,pre_dft_composition
feature::fw_row_max,feature,fw_row_max,,,,composition_known_framework,pre_dft_composition
feature::fw_row_mean,feature,fw_row_mean,,,,composition_known_framework,pre_dft_composition
feature::fw_row_min,feature,fw_row_min,,,,composition_known_framework,pre_dft_composition
feature::fw_row_range,feature,fw_row_range,,,,composition_known_framework,pre_dft_composition
feature::fw_row_std,feature,fw_row_std,,,,composition_known_framework,pre_dft_composition
feature::wi_X,feature,wi_X,,,,composition_known_working_ion,pre_dft_composition
feature::wi_Z,feature,wi_Z,,,,composition_known_working_ion,pre_dft_composition
feature::wi_atomic_mass,feature,wi_atomic_mass,,,,composition_known_working_ion,pre_dft_composition
feature::wi_group,feature,wi_group,,,,composition_known_working_ion,pre_dft_composition
feature::wi_row,feature,wi_row,,,,composition_known_working_ion,pre_dft_composition
feature::wi_is_K,feature,wi_is_K,,,,domain_label_onehot,validation_only
feature::wi_is_Li,feature,wi_is_Li,,,,domain_label_onehot,validation_only
feature::wi_is_Na,feature,wi_is_Na,,,,domain_label_onehot,validation_only
feature::stored_abs_fracA_delta,feature,stored_abs_fracA_delta,,,,other_numeric,derived_miscellaneous
feature::charge_summary_band_gap,feature,charge_summary_band_gap,,,,post_dft_electronic_summary,post_dft_electronic
feature::charge_summary_is_metal,feature,charge_summary_is_metal,,,,post_dft_electronic_summary,post_dft_electronic
feature::discharge_summary_band_gap,feature,discharge_summary_band_gap,,,,post_dft_electronic_summary,post_dft_electronic
feature::discharge_summary_is_metal,feature,discharge_summary_is_metal,,,,post_dft_electronic_summary,post_dft_electronic
feature::summary_abs_delta_band_gap,feature,summary_abs_delta_band_gap,,,,post_dft_electronic_summary,post_dft_electronic
feature::summary_delta_band_gap,feature,summary_delta_band_gap,,,,post_dft_electronic_summary,post_dft_electronic
feature::charge_summary_energy_above_hull,feature,charge_summary_energy_above_hull,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::charge_summary_formation_energy_per_atom,feature,charge_summary_formation_energy_per_atom,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::charge_summary_is_stable,feature,charge_summary_is_stable,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::discharge_summary_energy_above_hull,feature,discharge_summary_energy_above_hull,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::discharge_summary_formation_energy_per_atom,feature,discharge_summary_formation_energy_per_atom,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::discharge_summary_is_stable,feature,discharge_summary_is_stable,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::summary_abs_delta_energy_above_hull,feature,summary_abs_delta_energy_above_hull,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::summary_abs_delta_formation_energy_per_atom,feature,summary_abs_delta_formation_energy_per_atom,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::summary_delta_energy_above_hull,feature,summary_delta_energy_above_hull,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::summary_delta_formation_energy_per_atom,feature,summary_delta_formation_energy_per_atom,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::summary_worst_energy_above_hull,feature,summary_worst_energy_above_hull,,,,post_dft_energy_stability_summary,post_dft_thermodynamics
feature::charge_summary_theoretical,feature,charge_summary_theoretical,,,,post_dft_provenance_flag,post_dft_provenance
feature::discharge_summary_theoretical,feature,discharge_summary_theoretical,,,,post_dft_provenance_flag,post_dft_provenance
feature::charge_summary_density,feature,charge_summary_density,,,,relaxed_structure_summary,relaxed_structure
feature::charge_summary_density_atomic,feature,charge_summary_density_atomic,,,,relaxed_structure_summary,relaxed_structure
feature::charge_summary_nsites,feature,charge_summary_nsites,,,,relaxed_structure_summary,relaxed_structure
feature::charge_summary_symmetry_number,feature,charge_summary_symmetry_number,,,,relaxed_structure_summary,relaxed_structure
feature::charge_summary_volume,feature,charge_summary_volume,,,,relaxed_structure_summary,relaxed_structure
feature::charge_summary_volume_per_site,feature,charge_summary_volume_per_site,,,,relaxed_structure_summary,relaxed_structure
feature::discharge_summary_density,feature,discharge_summary_density,,,,relaxed_structure_summary,relaxed_structure
feature::discharge_summary_density_atomic,feature,discharge_summary_density_atomic,,,,relaxed_structure_summary,relaxed_structure
feature::discharge_summary_nsites,feature,discharge_summary_nsites,,,,relaxed_structure_summary,relaxed_structure
feature::discharge_summary_symmetry_number,feature,discharge_summary_symmetry_number,,,,relaxed_structure_summary,relaxed_structure
feature::discharge_summary_volume,feature,discharge_summary_volume,,,,relaxed_structure_summary,relaxed_structure
feature::discharge_summary_volume_per_site,feature,discharge_summary_volume_per_site,,,,relaxed_structure_summary,relaxed_structure
feature::summary_abs_delta_density,feature,summary_abs_delta_density,,,,relaxed_structure_summary,relaxed_structure
feature::summary_abs_delta_density_atomic,feature,summary_abs_delta_density_atomic,,,,relaxed_structure_summary,relaxed_structure
feature::summary_abs_delta_volume_fraction,feature,summary_abs_delta_volume_fraction,,,,relaxed_structure_summary,relaxed_structure
feature::summary_abs_delta_volume_per_site,feature,summary_abs_delta_volume_per_site,,,,relaxed_structure_summary,relaxed_structure
feature::summary_delta_density,feature,summary_delta_density,,,,relaxed_structure_summary,relaxed_structure
feature::summary_delta_density_atomic,feature,summary_delta_density_atomic,,,,relaxed_structure_summary,relaxed_structure
feature::summary_delta_volume_fraction,feature,summary_delta_volume_fraction,,,,relaxed_structure_summary,relaxed_structure
feature::summary_delta_volume_per_site,feature,summary_delta_volume_per_site,,,,relaxed_structure_summary,relaxed_structure
feature::charge_formula_X_max,feature,charge_formula_X_max,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_X_mean,feature,charge_formula_X_mean,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_X_min,feature,charge_formula_X_min,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_X_range,feature,charge_formula_X_range,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_X_std,feature,charge_formula_X_std,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_Z_max,feature,charge_formula_Z_max,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_Z_mean,feature,charge_formula_Z_mean,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_Z_min,feature,charge_formula_Z_min,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_Z_range,feature,charge_formula_Z_range,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_Z_std,feature,charge_formula_Z_std,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_atomic_mass_max,feature,charge_formula_atomic_mass_max,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_atomic_mass_mean,feature,charge_formula_atomic_mass_mean,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_atomic_mass_min,feature,charge_formula_atomic_mass_min,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_atomic_mass_range,feature,charge_formula_atomic_mass_range,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_atomic_mass_std,feature,charge_formula_atomic_mass_std,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Ag,feature,charge_formula_frac_Ag,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Al,feature,charge_formula_frac_Al,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_As,feature,charge_formula_frac_As,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_B,feature,charge_formula_frac_B,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Br,feature,charge_formula_frac_Br,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_C,feature,charge_formula_frac_C,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Ca,feature,charge_formula_frac_Ca,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Cl,feature,charge_formula_frac_Cl,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Co,feature,charge_formula_frac_Co,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Cr,feature,charge_formula_frac_Cr,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Cu,feature,charge_formula_frac_Cu,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_F,feature,charge_formula_frac_F,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Fe,feature,charge_formula_frac_Fe,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_I,feature,charge_formula_frac_I,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_K,feature,charge_formula_frac_K,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Li,feature,charge_formula_frac_Li,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Mg,feature,charge_formula_frac_Mg,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Mn,feature,charge_formula_frac_Mn,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_N,feature,charge_formula_frac_N,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Na,feature,charge_formula_frac_Na,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Ni,feature,charge_formula_frac_Ni,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_O,feature,charge_formula_frac_O,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_P,feature,charge_formula_frac_P,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_S,feature,charge_formula_frac_S,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Si,feature,charge_formula_frac_Si,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Ti,feature,charge_formula_frac_Ti,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_V,feature,charge_formula_frac_V,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_Zn,feature,charge_formula_frac_Zn,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_frac_transition_metals,feature,charge_formula_frac_transition_metals,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_group_max,feature,charge_formula_group_max,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_group_mean,feature,charge_formula_group_mean,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_group_min,feature,charge_formula_group_min,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_group_range,feature,charge_formula_group_range,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_group_std,feature,charge_formula_group_std,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_has_Br,feature,charge_formula_has_Br,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_has_C,feature,charge_formula_has_C,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_has_Cl,feature,charge_formula_has_Cl,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_has_F,feature,charge_formula_has_F,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_has_I,feature,charge_formula_has_I,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_has_N,feature,charge_formula_has_N,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_has_O,feature,charge_formula_has_O,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_has_P,feature,charge_formula_has_P,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_has_S,feature,charge_formula_has_S,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_has_Si,feature,charge_formula_has_Si,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_n_atoms,feature,charge_formula_n_atoms,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_n_elements,feature,charge_formula_n_elements,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_n_transition_metals,feature,charge_formula_n_transition_metals,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_parse_ok,feature,charge_formula_parse_ok,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_row_max,feature,charge_formula_row_max,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_row_mean,feature,charge_formula_row_mean,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_row_min,feature,charge_formula_row_min,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_row_range,feature,charge_formula_row_range,,,,stoichiometric_window,electrode_state_stoichiometry
feature::charge_formula_row_std,feature,charge_formula_row_std,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_X_max,feature,discharge_formula_X_max,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_X_mean,feature,discharge_formula_X_mean,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_X_min,feature,discharge_formula_X_min,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_X_range,feature,discharge_formula_X_range,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_X_std,feature,discharge_formula_X_std,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_Z_max,feature,discharge_formula_Z_max,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_Z_mean,feature,discharge_formula_Z_mean,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_Z_min,feature,discharge_formula_Z_min,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_Z_range,feature,discharge_formula_Z_range,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_Z_std,feature,discharge_formula_Z_std,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_atomic_mass_max,feature,discharge_formula_atomic_mass_max,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_atomic_mass_mean,feature,discharge_formula_atomic_mass_mean,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_atomic_mass_min,feature,discharge_formula_atomic_mass_min,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_atomic_mass_range,feature,discharge_formula_atomic_mass_range,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_atomic_mass_std,feature,discharge_formula_atomic_mass_std,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Ag,feature,discharge_formula_frac_Ag,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Al,feature,discharge_formula_frac_Al,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_As,feature,discharge_formula_frac_As,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_B,feature,discharge_formula_frac_B,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Br,feature,discharge_formula_frac_Br,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_C,feature,discharge_formula_frac_C,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Ca,feature,discharge_formula_frac_Ca,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Cl,feature,discharge_formula_frac_Cl,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Co,feature,discharge_formula_frac_Co,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Cr,feature,discharge_formula_frac_Cr,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Cu,feature,discharge_formula_frac_Cu,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_F,feature,discharge_formula_frac_F,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Fe,feature,discharge_formula_frac_Fe,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_I,feature,discharge_formula_frac_I,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_K,feature,discharge_formula_frac_K,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Li,feature,discharge_formula_frac_Li,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Mg,feature,discharge_formula_frac_Mg,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Mn,feature,discharge_formula_frac_Mn,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_N,feature,discharge_formula_frac_N,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Na,feature,discharge_formula_frac_Na,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Ni,feature,discharge_formula_frac_Ni,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_O,feature,discharge_formula_frac_O,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_P,feature,discharge_formula_frac_P,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_S,feature,discharge_formula_frac_S,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Si,feature,discharge_formula_frac_Si,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Ti,feature,discharge_formula_frac_Ti,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_V,feature,discharge_formula_frac_V,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_Zn,feature,discharge_formula_frac_Zn,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_frac_transition_metals,feature,discharge_formula_frac_transition_metals,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_group_max,feature,discharge_formula_group_max,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_group_mean,feature,discharge_formula_group_mean,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_group_min,feature,discharge_formula_group_min,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_group_range,feature,discharge_formula_group_range,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_group_std,feature,discharge_formula_group_std,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_has_Br,feature,discharge_formula_has_Br,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_has_C,feature,discharge_formula_has_C,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_has_Cl,feature,discharge_formula_has_Cl,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_has_F,feature,discharge_formula_has_F,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_has_I,feature,discharge_formula_has_I,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_has_N,feature,discharge_formula_has_N,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_has_O,feature,discharge_formula_has_O,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_has_P,feature,discharge_formula_has_P,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_has_S,feature,discharge_formula_has_S,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_has_Si,feature,discharge_formula_has_Si,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_n_atoms,feature,discharge_formula_n_atoms,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_n_elements,feature,discharge_formula_n_elements,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_n_transition_metals,feature,discharge_formula_n_transition_metals,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_parse_ok,feature,discharge_formula_parse_ok,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_row_max,feature,discharge_formula_row_max,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_row_mean,feature,discharge_formula_row_mean,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_row_min,feature,discharge_formula_row_min,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_row_range,feature,discharge_formula_row_range,,,,stoichiometric_window,electrode_state_stoichiometry
feature::discharge_formula_row_std,feature,discharge_formula_row_std,,,,stoichiometric_window,electrode_state_stoichiometry
feature::fracA_charge,feature,fracA_charge,,,,stoichiometric_window,electrode_state_stoichiometry
feature::fracA_discharge,feature,fracA_discharge,,,,stoichiometric_window,electrode_state_stoichiometry
