query_id,manual_candidate_id,shortlist_priority_rank,battery_formula,formula_discharge,framework_formula,coarse_family,chemical_system_uid,query_type,query_priority,query_priority_tier,search_platform,search_query,search_url,query_note,manual_check_required,recommended_action,normalized_search_query,manual_checked,annotation_status,analogue_level,relevance_score_0_to_3,citation_title,citation_year,doi,url,source_journal_or_database,same_sodium_working_ion,same_formula,same_framework,same_transition_metal,same_anion_framework,electrochemical_evidence_reported,computed_or_experimental,manual_evidence_note,reviewer_initials,manual_check_date,needs_second_check,evidence_confidence_0_to_3,do_not_use_as_discovery_claim,manual_filling_hint,negative_result_rule
Q0011,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxCoO2+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxcoo2 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0012,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_framework_formula,5,B_try_second,Google Scholar,CoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=CoO2+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,coo2 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0013,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,material_phrase_oxide,6,C_broad_fallback,Google Scholar,sodium cobalt oxide cathode,https://scholar.google.com/scholar?q=sodium+cobalt+oxide+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium cobalt oxide cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0014,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,broad_family_oxide,8,C_broad_fallback,Google Scholar,layered transition metal oxide sodium ion battery cathode,https://scholar.google.com/scholar?q=layered+transition+metal+oxide+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,layered transition metal oxide sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0015,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,NaCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaCoO2+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,nacoo2 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0016,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_exact_formula_electrode,2,A_try_first,Google Scholar,NaCoO2 electrode cathode,https://scholar.google.com/scholar?q=NaCoO2+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,nacoo2 electrode cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0017,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,quoted_literature_formula,3,B_try_second,Google Scholar,"""NaCoO2"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22NaCoO2%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""nacoo2"" sodium ion battery cathode",False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0018,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxCoO2+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxcoo2 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0019,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_framework_formula,5,B_try_second,Google Scholar,CoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=CoO2+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,coo2 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0020,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,material_phrase_oxide,6,C_broad_fallback,Google Scholar,sodium cobalt oxide cathode,https://scholar.google.com/scholar?q=sodium+cobalt+oxide+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium cobalt oxide cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0021,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,broad_family_oxide,8,C_broad_fallback,Google Scholar,layered transition metal oxide sodium ion battery cathode,https://scholar.google.com/scholar?q=layered+transition+metal+oxide+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,layered transition metal oxide sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0022,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,Na4Fe2(PO4)3 sodium ion battery cathode,https://scholar.google.com/scholar?q=Na4Fe2%28PO4%293+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,na4fe2(po4)3 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0023,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,_exact_formula_electrode,2,A_try_first,Google Scholar,Na4Fe2(PO4)3 electrode cathode,https://scholar.google.com/scholar?q=Na4Fe2%28PO4%293+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,na4fe2(po4)3 electrode cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0024,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,quoted_literature_formula,3,B_try_second,Google Scholar,"""Na4Fe2(PO4)3"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22Na4Fe2%28PO4%293%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""na4fe2(po4)3"" sodium ion battery cathode",False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0025,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxFe2(PO4)3 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxFe2%28PO4%293+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxfe2(po4)3 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0026,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,_framework_formula,5,B_try_second,Google Scholar,Fe2(PO4)3 sodium ion battery cathode,https://scholar.google.com/scholar?q=Fe2%28PO4%293+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,fe2(po4)3 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0027,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,material_phrase_phosphate,6,C_broad_fallback,Google Scholar,sodium iron phosphate cathode,https://scholar.google.com/scholar?q=sodium+iron+phosphate+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium iron phosphate cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0028,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,broad_family_polyanion,7,C_broad_fallback,Google Scholar,polyanion phosphate sodium ion battery cathode,https://scholar.google.com/scholar?q=polyanion+phosphate+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,polyanion phosphate sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0029,Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,NaMnF3 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaMnF3+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,namnf3 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0030,Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,_exact_formula_electrode,2,A_try_first,Google Scholar,NaMnF3 electrode cathode,https://scholar.google.com/scholar?q=NaMnF3+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,namnf3 electrode cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0031,Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,quoted_literature_formula,3,B_try_second,Google Scholar,"""NaMnF3"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22NaMnF3%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""namnf3"" sodium ion battery cathode",False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0032,Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxMnF3 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxMnF3+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxmnf3 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0033,Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,_framework_formula,5,B_try_second,Google Scholar,MnF3 sodium ion battery cathode,https://scholar.google.com/scholar?q=MnF3+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,mnf3 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0034,Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,material_phrase_fluoride,6,C_broad_fallback,Google Scholar,manganese fluoride sodium ion battery cathode,https://scholar.google.com/scholar?q=manganese+fluoride+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,manganese fluoride sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0035,Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,broad_family_fluoride,7,C_broad_fallback,Google Scholar,transition metal fluoride sodium ion battery cathode,https://scholar.google.com/scholar?q=transition+metal+fluoride+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,transition metal fluoride sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0036,Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,Na3CoPO4CO3 sodium ion battery cathode,https://scholar.google.com/scholar?q=Na3CoPO4CO3+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,na3copo4co3 sodium ion battery cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0037,Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_exact_formula_electrode,2,A_try_first,Google Scholar,Na3CoPO4CO3 electrode cathode,https://scholar.google.com/scholar?q=Na3CoPO4CO3+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,na3copo4co3 electrode cathode,False,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,True,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
