manual_candidate_id,shortlist_priority_rank,battery_formula,formula_discharge,framework_formula,coarse_family,n_queries_generated,n_checked_rows,best_annotation_status,best_analogue_level,best_relevance_score_0_to_3,best_citation_title,best_url,safe_interpretation
Na_candidate_11,11,Na1-3MnPCO7,Na3MnPCO7,MnPCO7,polyanion_phosphate_like,10,1,exact_or_near_exact_formula,exact_formula,3,Sidorenkite (Na3MnPO4CO3): A New Intercalation Cathode Material for Na-Ion Batteries,https://pubs.acs.org/doi/10.1021/cm400805q,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Experimental Na-ion intercalation cathode paper on exact Na3MnPO4CO3 sidorenkite carbonophosphate. The study reports Na3MnPO4CO3 as a new intercalation cathode material for Na-ion batteries. This is direct exact-formula experimental literature evidence for Candidate 11, but it is not validation of the specific Materials Project computed record or triage rank"
Na_candidate_12,12,Na0-2MnH4(SO5)2,Na2MnH4(SO5)2,MnH4(SO5)2,sulfate_or_sulfur_oxoanion_like,7,7,same_family_same_transition_metal,same_family_same_transition_metal,1,From krohnkite-to alluaudite-type of structure: novel method of synthesis of sodium manganese sulfates with electrochemical properties in alkali-metal ion batteries,https://doi.org/10.1039/c5ta07204b,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Broad search for sodium manganese sulfate cathode found an experimental paper on sodium manganese sulfate compounds with electrochemical properties in alkali-metal ion batteries. This is useful manganese sulfate-family background, but it is not the exact Candidate 12 formula NaxMnH4(SO5)2 and the visible result does not clearly confirm sodium-ion cathode testing for the candidate formula. Therefore this is weak same-family evidence only, not validation of Candidate 12 or the Materials Project triage rank"
Na_candidate_13,13,Na0-1CoPO4,NaCoPO4,CoPO4,polyanion_phosphate_like,7,1,exact_or_near_exact_formula,exact_formula,3,Microwave-Assisted Synthesis of NaCoPO4 Red-Phase and Initial Characterization as High Voltage Cathode for Sodium-Ion Batteries,https://pubs.acs.org/doi/10.1021/acsami.6b14341,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Selected literature provides exact or near-exact sodium-ion cathode evidence for this candidate, but it is not validation of the specific Materials Project computed record or triage rank."
Na_candidate_14,14,Na1.5-3NiPCO7,Na3NiPCO7,NiPCO7,polyanion_phosphate_like,10,1,exact_or_near_exact_formula,exact_formula,3,Cathode Properties of Na3MPO4CO3 (M = Co/Ni) Prepared by a Hydrothermal Method for Na-ion Batteries,https://api.lib.kyushu-u.ac.jp/opac_download_md/2547345/Pages_262-266.pdf,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Experimental Na-ion battery cathode paper on Na3MPO4CO3 with M = Co/Ni. Because M includes Ni, this provides exact-formula family evidence for Candidate 14 Na3NiPO4CO3. The work reports hydrothermal preparation and cathode-property evaluation for Na-ion batteries. This is direct exact-formula literature evidence, but it is not validation of the specific Materials Project computed record or triage rank"
Na_candidate_15,15,Na0-3Cr2(PO4)3,Na3Cr2(PO4)3,Cr2(PO4)3,polyanion_phosphate_like,7,1,exact_or_near_exact_formula,exact_formula,3,High-Voltage Cr4+/Cr3+ Redox Couple in Polyanion Compounds,https://pubs.acs.org/doi/10.1021/acsaem.7b00105,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Experimental sodium battery cathode paper on NASICON-phase Na3Cr2(PO4)3. The study reports high-voltage Cr4+/Cr3+ redox activity in a polyanion framework, with Na3Cr2(PO4)3 used as an archetypal NASICON-phase sodium cathode material. This is direct exact-formula experimental literature evidence for Candidate 15, but it is not validation of the specific Materials Project computed record or triage rank"
Na_candidate_16,16,Na0-2MnP2O7,Na2MnP2O7,MnP2O7,polyanion_phosphate_like,8,1,exact_or_near_exact_formula,exact_formula,3,Anomalous manganese activation of a pyrophosphate cathode in sodium ion batteries: a combined experimental and theoretical study,https://pubs.acs.org/doi/10.1021/ja312044k,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Experimental and theoretical sodium-ion cathode paper on exact Na2MnP2O7 pyrophosphate. The study reports Na2MnP2O7 as a manganese-based pyrophosphate cathode material for sodium-ion batteries. This is direct exact-formula literature evidence for Candidate 16, but it is not validation of the specific Materials Project computed record or triage rank"
Na_candidate_17,17,Na1-3CoAsCO7,Na3CoAsCO7,CoAsCO7,transition_metal_oxide_like,10,10,no_relevant_literature_found,none,0,,,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. searched for keyword, did not return a relevant match for the Candidate 17 formula."
Na_candidate_18,18,Na2-6Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,sulfate_or_sulfur_oxoanion_like,10,10,general_background_only,background_only,1,Novel mixed polyanions lithium-ion battery cathode materials predicted by high-throughput ab initio computations,https://pubs.rsc.org/en/content/articlelanding/2011/jm/c1jm12648a,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Search for Na6Fe2(CO3)4(SO4) sodium-ion battery cathode did not return direct experimental sodium-ion cathode evidence. The best relevant result is a high-throughput ab initio study of mixed-polyanion lithium-ion cathode materials that mentions the ferrotychite sodium phase Na6Fe2(CO3)4(SO4), likely as a structural precursor or related sodium phase. This is weak computational/background evidence only, not sodium-ion cathode validation and not validation of the Materials Project triage rank"
Na_candidate_19,19,Na1-3FeAsCO7,Na3FeAsCO7,FeAsCO7,transition_metal_oxide_like,10,6,no_relevant_literature_found,none,0,,,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. searched for keyword, did not return a relevant match for the Candidate 19 formula."
Na_candidate_20,20,Na1-3CrPCO7,Na3CrPCO7,CrPCO7,polyanion_phosphate_like,10,4,exact_or_near_exact_formula,near_exact_formula,2,"First-Principles Study on the Electrochemical Properties of Cr/V-Doped Na3TMPO4CO3 (TM = Fe, Mn)",https://openurl.ebsco.com/EPDB%3Agcd%3A8%3A35284424/detailv2?sid=ebsco%3Aplink%3Ascholar-a&id=ebsco%3Agcd%3A173113226&crl=c&jrnl=10009035&id_token_hint=eyJraWQiOiIxNzY5MTEwMjQ0MDQ3IiwiYWxnIjoiUlMyNTYifQ.eyJzdWIiOiJuczA1NjA4NC5tYWluIiwiZGV2aWNlX2lkIjoiNzE2YjViNWMtM2I0Zi00MDk1LWEzNjYtM2E1NDE4NTllMDE2IiwiYW1yIjpbImlwIl0sImlzcyI6Imh0dHBzOi8vYXV0aC5lYnNjby56b25lL2FwaS9kaXNwYXRjaGVyIiwiY2xpZW50X2lkIjoiYXdneWNJeDU3TXJ3bkRRNWg0VWU2eUNWRVAwcjVNdDkiLCJhdWQiOlsiaHR0cHM6Ly9hdXRoLmVic2NvLnpvbmUvYXBpL2Rpc3BhdGNoZXIiLCJodHRwOi8vYXV0aC1jeHQtbWdyLmVob3N0LWxpdmUuZWtzLmVob3N0LWxpdmUuZWlzbHouY29tIiwiaHR0cDovL3hmZi1wcm9jZXNzb3ItamF2YS5laG9zdC1kZXYuZWtzLmVob3N0LWRldnFhLmVpc2x6LmNvbS9zd2FnZ2VyLXVpL2luZGV4Lmh0bWwiLCJodHRwczovL2FjY2Vzcy1hcGkuZWJzY28uY29tIiwiYXdneWNJeDU3TXJ3bkRRNWg0VWU2eUNWRVAwcjVNdDkiXSwiYXpwIjoiYXdneWNJeDU3TXJ3bkRRNWg0VWU2eUNWRVAwcjVNdDkiLCJpZHQiOiJpbnN0aXR1dGlvbmFsIiwiZXhwIjoxNzgzNjE3ODQyLCJpYXQiOjE3ODM2MTQyNDIsImNsaWVudF9uYW1lIjoiV2ViYXV0aCAtIE5ldyBFRFMgaWRfdG9rZW4iLCJqdGkiOiI0MGQzNTczOS02MWUwLTRkZGQtYTQ3Yy0wNDBkODU3MGFkOGYiLCJ1c2VybmFtZSI6Ikluc3RpdHV0aW9uYWxVc2VyIn0.tWeNXAWG_57n5nycBjtACWRlhiiqrEoTSXDEiuDpK1w467T1mvuBlkqjaGoazyYCe19KqQQ_LzvmxNe4mt4AaKmhfk6k9HJYcpFmv1gAH_uL54glKUxfk-ddH_yt1B2KGpsqIlPaG4G8Bunu9C-j70gPYn2pOktOfhfb3yHXYViNKyGDNlN7miIo4j7A-ubbedflhHAxzQOcyphHG_Vo-wZ6CbZfTfgANhsdpagcmrjc42WydM2KNn8pU53RYxasZj92dj-EyhEKTEFaMSKLiocEyDinuVgc_LyxNiQ9B8XLvrk8PFfb4k2MIzB0xmtetVrRejv2glJEJUfMgal11Q&link_origin=scholar.google.com,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. First-principles computational study of Cr/V-doped Na3TMPO4CO3 carbonophosphate materials for sodium-ion battery electrochemical properties. The Google Scholar snippet mentions Na3CrPO4CO3, but the accessible abstract mainly describes Cr/V-doped Na3FePO4CO3 and Na3MnPO4CO3 systems rather than an experimental exact Na3CrPO4CO3 cathode. This is useful near-exact computational carbonophosphate evidence only, not experimental validation of Candidate 20 or the Materials Project triage rank"
Na_candidate_21,21,Na0-6Mn3(PO4)4,Na6Mn3(PO4)4,Mn3(PO4)4,polyanion_phosphate_like,7,7,same_family_same_transition_metal,same_family_same_transition_metal,1,Anomalous Jahn-Teller behavior in a manganese-based mixed-phosphate cathode for sodium ion batteries,https://pubs.rsc.org/ee/article/8/11/3325/478679/Anomalous-Jahn-Teller-behavior-in-a-manganese,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Broad Mn3(PO4)4 search found an experimental sodium-ion cathode paper on a manganese-based mixed-phosphate material, not exact Na6Mn3(PO4)4. This provides weak same-family manganese phosphate/polyanion cathode evidence only and is not validation of the Candidate 21 formula or Materials Project triage rank"
Na_candidate_22,22,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,7,2,exact_or_near_exact_formula,exact_formula,3,Electrochemical Properties of Monoclinic NaMnO2,https://iopscience.iop.org/article/10.1149/2.035112jes,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Experimental electrochemical study of monoclinic NaMnO2 as a sodium-intercalation cathode material. This is direct exact-formula experimental literature evidence for Candidate 22, but it is not validation of the specific Materials Project computed record or triage rank"
Na_candidate_23,23,Na0-1VPO5,NaVPO5,VPO5,polyanion_phosphate_like,7,2,exact_or_near_exact_formula,exact_formula,2,Insight into Diffusion Mechanism in Cathode Materials NaVPO5 and NaVFPO4 for Sodium Ion Batteries: DFT Investigation,https://iopscience.iop.org/article/10.1149/MA2020-022275mtgabs,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. DFT/computational study directly discussing NaVPO5 and NaVFPO4 as cathode materials for sodium-ion batteries, with focus on Na-ion diffusion mechanism and migration barriers. This is exact-formula computational evidence for Candidate 23 NaVPO5, but it is not experimental sodium-ion cathode validation and not validation of the Materials Project triage rank"
Na_candidate_24,24,Na0-1VF4,NaVF4,VF4,halide_or_fluoride_like,7,4,exact_or_near_exact_formula,exact_formula,2,An effective method to screen sodium-based layered materials for sodium ion batteries,https://www.nature.com/articles/s41524-018-0070-2,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Computational screening paper that directly mentions NaVF4 as a sodium-based candidate cathode material with a high predicted average voltage. This is exact-formula computational evidence for Candidate 24, but it is not experimental sodium-ion cathode validation and not validation of the Materials Project triage rank"
Na_candidate_25,25,Na1-3MnAsCO7,Na3MnAsCO7,MnAsCO7,transition_metal_oxide_like,10,10,general_background_only,background_only,1,"Jorgkellerite, NaMn(PO4)(CO3)O·5H2O, a new layered phosphate-carbonate mineral from the Oldoinyo Lengai volcano, Gregory rift, northern Tanzania",https://doi.org/10.1007/s00710-016-0487-6,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Search returned only weak mineral/phosphate-carbonate background related to Na3Mn(PO4)(CO3), not the Candidate 25 arsenate-carbonate formula Na3Mn(AsO4)(CO3). This is background only and not sodium-ion cathode validation or Materials Project rank validation."
Na_candidate_26,26,Na1-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,polyanion_phosphate_like,10,9,same_framework_analogue,same_framework,2,"Synthesis of Novel Carbonophosphate Na3MPO4CO3 (M= Fe, Mn, Ni, and Co) and the Cathode Properties in Na-ion Battery",https://catalog.lib.kyushu-u.ac.jp/,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Search did not return exact Candidate 26 Na5Mn2(PO4)2(CO3)2 evidence. The selected source concerns Na3MPO4CO3 carbonophosphates with M including Mn and reports cathode properties in Na-ion batteries. This is useful same-framework sodium manganese carbonophosphate evidence only, not exact-formula evidence and not validation of the Materials Project triage rank"
Na_candidate_27,27,Na0-2MnCSO7,Na2MnCSO7,MnCSO7,sulfate_or_sulfur_oxoanion_like,10,10,general_background_only,background_only,1,Design of new sulfate-based positive electrode materials for Li- and Na-ion batteries,https://theses.hal.science/tel-01018912v1,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Search for NaxMn(CO3)(SO4) sodium-ion battery cathode did not return exact manganese carbonate-sulfate evidence. The selected source is broad sulfate-based positive-electrode background for Li- and Na-ion batteries, mainly involving sulfate materials rather than the exact Candidate 27 mixed carbonate-sulfate formula. This is general background only and is not validation of the Materials Project triage rank"
Na_candidate_28,28,Na1-3VSiCO7,Na3VSiCO7,VSiCO7,silicate_like,10,10,same_family_same_transition_metal,same_family_same_transition_metal,1,NASICON-type V-based phosphate cathodes for sodium-ion batteries,https://energylab.labapress.com/article/doi/10.54227/elab.20240014,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Search did not return exact Candidate 28 Na3V(CO3)(SiO4) or Na3V(SiO4)(CO3) evidence. The selected source concerns V-based NASICON/phosphate cathodes for sodium-ion batteries and mentions anion-site regulation involving groups such as SiO4 and CO3 only in a broad context. This is weak vanadium-polyanion background only, not exact silicate-carbonate evidence and not validation of the Materials Project triage rank"
Na_candidate_29,29,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,7,7,exact_or_near_exact_formula,exact_formula,3,Beta-NaMnO2: A High-Performance Cathode for Sodium-Ion Batteries,https://pubs.acs.org/doi/10.1021/ja509704t,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Experimental sodium-ion cathode paper on exact β-NaMnO2. The study reports β-NaMnO2 as a high-performance cathode for sodium-ion batteries with reversible Na extraction/insertion. This is direct exact-formula experimental literature evidence for Candidate 29, but it is not validation of the specific Materials Project computed record or triage rank"
Na_candidate_30,30,Na0-3.5Cr2(PO4)3,Na7Cr4(PO4)6,Cr2(PO4)3,polyanion_phosphate_like,7,7,general_background_only,background_only,1,"Ionic behavior, Na+ mobility and infrared spectroscopy in Na7Cr4(P2O7)4PO4 material",https://rajpub.com/index.php/jac/issue/view/334,"Literature analogue support only. Do not claim validation of the Materials Project computed record or triage rank. Search did not return exact Na7Cr4(PO4)6 sodium-ion cathode evidence. The selected source concerns Na7Cr4(P2O7)4PO4, a sodium chromium pyrophosphate-phosphate material with Na+ mobility/ionic-behavior characterization. This is only weak Na-Cr phosphate-family background, not exact Na7Cr4(PO4)6 evidence, not electrochemical cathode validation, and not validation of the Materials Project triage rank"
