manual_candidate_id,shortlist_priority_rank,battery_formula,formula_discharge,framework_formula,coarse_family,chemical_system_uid,query_type,query_priority,query_priority_tier,search_platform,search_query,search_url,query_note,manual_check_required,recommended_action,normalized_search_query
Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_exact_formula_electrode,2,A_try_first,Google Scholar,NaCoO2 electrode cathode,https://scholar.google.com/scholar?q=NaCoO2+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,nacoo2 electrode cathode
Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,quoted_literature_formula,3,B_try_second,Google Scholar,"""NaCoO2"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22NaCoO2%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""nacoo2"" sodium ion battery cathode"
Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxCoO2+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxcoo2 sodium ion battery cathode
Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_framework_formula,5,B_try_second,Google Scholar,CoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=CoO2+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,coo2 sodium ion battery cathode
Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,material_phrase_oxide,6,C_broad_fallback,Google Scholar,sodium cobalt oxide cathode,https://scholar.google.com/scholar?q=sodium+cobalt+oxide+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium cobalt oxide cathode
Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,broad_family_oxide,8,C_broad_fallback,Google Scholar,layered transition metal oxide sodium ion battery cathode,https://scholar.google.com/scholar?q=layered+transition+metal+oxide+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,layered transition metal oxide sodium ion battery cathode
Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,Na4Fe2(PO4)3 sodium ion battery cathode,https://scholar.google.com/scholar?q=Na4Fe2%28PO4%293+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,na4fe2(po4)3 sodium ion battery cathode
Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,_exact_formula_electrode,2,A_try_first,Google Scholar,Na4Fe2(PO4)3 electrode cathode,https://scholar.google.com/scholar?q=Na4Fe2%28PO4%293+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,na4fe2(po4)3 electrode cathode
Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,quoted_literature_formula,3,B_try_second,Google Scholar,"""Na4Fe2(PO4)3"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22Na4Fe2%28PO4%293%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""na4fe2(po4)3"" sodium ion battery cathode"
Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxFe2(PO4)3 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxFe2%28PO4%293+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxfe2(po4)3 sodium ion battery cathode
Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,_framework_formula,5,B_try_second,Google Scholar,Fe2(PO4)3 sodium ion battery cathode,https://scholar.google.com/scholar?q=Fe2%28PO4%293+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,fe2(po4)3 sodium ion battery cathode
Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,material_phrase_phosphate,6,C_broad_fallback,Google Scholar,sodium iron phosphate cathode,https://scholar.google.com/scholar?q=sodium+iron+phosphate+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium iron phosphate cathode
Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,broad_family_polyanion,7,C_broad_fallback,Google Scholar,polyanion phosphate sodium ion battery cathode,https://scholar.google.com/scholar?q=polyanion+phosphate+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,polyanion phosphate sodium ion battery cathode
Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,NaMnF3 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaMnF3+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,namnf3 sodium ion battery cathode
Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,_exact_formula_electrode,2,A_try_first,Google Scholar,NaMnF3 electrode cathode,https://scholar.google.com/scholar?q=NaMnF3+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,namnf3 electrode cathode
Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,quoted_literature_formula,3,B_try_second,Google Scholar,"""NaMnF3"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22NaMnF3%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""namnf3"" sodium ion battery cathode"
Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxMnF3 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxMnF3+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxmnf3 sodium ion battery cathode
Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,_framework_formula,5,B_try_second,Google Scholar,MnF3 sodium ion battery cathode,https://scholar.google.com/scholar?q=MnF3+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,mnf3 sodium ion battery cathode
Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,material_phrase_fluoride,6,C_broad_fallback,Google Scholar,manganese fluoride sodium ion battery cathode,https://scholar.google.com/scholar?q=manganese+fluoride+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,manganese fluoride sodium ion battery cathode
Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,broad_family_fluoride,7,C_broad_fallback,Google Scholar,transition metal fluoride sodium ion battery cathode,https://scholar.google.com/scholar?q=transition+metal+fluoride+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,transition metal fluoride sodium ion battery cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,Na3CoPO4CO3 sodium ion battery cathode,https://scholar.google.com/scholar?q=Na3CoPO4CO3+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,na3copo4co3 sodium ion battery cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_exact_formula_electrode,2,A_try_first,Google Scholar,Na3CoPO4CO3 electrode cathode,https://scholar.google.com/scholar?q=Na3CoPO4CO3+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,na3copo4co3 electrode cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_exact_formula_sodium_ion,3,A_try_first,Google Scholar,Na3Co(CO3)(PO4) sodium ion battery cathode,https://scholar.google.com/scholar?q=Na3Co%28CO3%29%28PO4%29+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,na3co(co3)(po4) sodium ion battery cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_exact_formula_electrode,4,A_try_first,Google Scholar,Na3Co(CO3)(PO4) electrode cathode,https://scholar.google.com/scholar?q=Na3Co%28CO3%29%28PO4%29+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,na3co(co3)(po4) electrode cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_exact_formula_sodium_ion,5,A_try_first,Google Scholar,Na3Co(PO4)(CO3) sodium ion battery cathode,https://scholar.google.com/scholar?q=Na3Co%28PO4%29%28CO3%29+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,na3co(po4)(co3) sodium ion battery cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_exact_formula_electrode,6,A_try_first,Google Scholar,Na3Co(PO4)(CO3) electrode cathode,https://scholar.google.com/scholar?q=Na3Co%28PO4%29%28CO3%29+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,na3co(po4)(co3) electrode cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,quoted_literature_formula,7,B_try_second,Google Scholar,"""Na3CoPO4CO3"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22Na3CoPO4CO3%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""na3copo4co3"" sodium ion battery cathode"
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,quoted_literature_formula,8,B_try_second,Google Scholar,"""Na3Co(CO3)(PO4)"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22Na3Co%28CO3%29%28PO4%29%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""na3co(co3)(po4)"" sodium ion battery cathode"
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,variable_sodium_literature_formula,9,B_try_second,Google Scholar,NaxCoPO4CO3 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxCoPO4CO3+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxcopo4co3 sodium ion battery cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,variable_sodium_literature_formula,10,B_try_second,Google Scholar,NaxCo(CO3)(PO4) sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxCo%28CO3%29%28PO4%29+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxco(co3)(po4) sodium ion battery cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,variable_sodium_literature_formula,11,B_try_second,Google Scholar,NaxCo(PO4)(CO3) sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxCo%28PO4%29%28CO3%29+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxco(po4)(co3) sodium ion battery cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_framework_formula,12,B_try_second,Google Scholar,CoPO4CO3 sodium ion battery cathode,https://scholar.google.com/scholar?q=CoPO4CO3+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,copo4co3 sodium ion battery cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_framework_formula,13,B_try_second,Google Scholar,Co(CO3)(PO4) sodium ion battery cathode,https://scholar.google.com/scholar?q=Co%28CO3%29%28PO4%29+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,co(co3)(po4) sodium ion battery cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,_framework_formula,14,B_try_second,Google Scholar,Co(PO4)(CO3) sodium ion battery cathode,https://scholar.google.com/scholar?q=Co%28PO4%29%28CO3%29+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,co(po4)(co3) sodium ion battery cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,material_phrase_carbonophosphate,15,C_broad_fallback,Google Scholar,sodium cobalt carbonophosphate cathode,https://scholar.google.com/scholar?q=sodium+cobalt+carbonophosphate+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium cobalt carbonophosphate cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,material_phrase_carbonate_phosphate,16,C_broad_fallback,Google Scholar,sodium cobalt carbonate phosphate cathode,https://scholar.google.com/scholar?q=sodium+cobalt+carbonate+phosphate+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium cobalt carbonate phosphate cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,family_formula_carbonophosphate,17,C_broad_fallback,Google Scholar,Na3MPO4CO3 sodium ion battery cathode cobalt,https://scholar.google.com/scholar?q=Na3MPO4CO3+sodium+ion+battery+cathode+cobalt,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,na3mpo4co3 sodium ion battery cathode cobalt
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,material_phrase_phosphate,18,C_broad_fallback,Google Scholar,sodium cobalt phosphate cathode,https://scholar.google.com/scholar?q=sodium+cobalt+phosphate+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium cobalt phosphate cathode
Na_candidate_06,6,Na1-3CoPCO7,Na3CoPCO7,CoPCO7,polyanion_phosphate_like,C-Co-O-P,broad_family_polyanion,19,C_broad_fallback,Google Scholar,polyanion phosphate sodium ion battery cathode,https://scholar.google.com/scholar?q=polyanion+phosphate+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,polyanion phosphate sodium ion battery cathode
Na_candidate_07,7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,Co-O-P,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,Na2CoP2O7 sodium ion battery cathode,https://scholar.google.com/scholar?q=Na2CoP2O7+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,na2cop2o7 sodium ion battery cathode
Na_candidate_07,7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,Co-O-P,_exact_formula_electrode,2,A_try_first,Google Scholar,Na2CoP2O7 electrode cathode,https://scholar.google.com/scholar?q=Na2CoP2O7+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,na2cop2o7 electrode cathode
Na_candidate_07,7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,Co-O-P,quoted_literature_formula,3,B_try_second,Google Scholar,"""Na2CoP2O7"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22Na2CoP2O7%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""na2cop2o7"" sodium ion battery cathode"
Na_candidate_07,7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,Co-O-P,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxCoP2O7 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxCoP2O7+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxcop2o7 sodium ion battery cathode
Na_candidate_07,7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,Co-O-P,_framework_formula,5,B_try_second,Google Scholar,CoP2O7 sodium ion battery cathode,https://scholar.google.com/scholar?q=CoP2O7+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",True,search_if_needed,cop2o7 sodium ion battery cathode
Na_candidate_07,7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,Co-O-P,material_phrase_pyrophosphate,6,C_broad_fallback,Google Scholar,sodium cobalt pyrophosphate cathode,https://scholar.google.com/scholar?q=sodium+cobalt+pyrophosphate+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium cobalt pyrophosphate cathode
Na_candidate_07,7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,Co-O-P,material_phrase_phosphate,7,C_broad_fallback,Google Scholar,sodium cobalt phosphate cathode,https://scholar.google.com/scholar?q=sodium+cobalt+phosphate+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,sodium cobalt phosphate cathode
Na_candidate_07,7,Na0-2CoP2O7,Na2CoP2O7,CoP2O7,polyanion_phosphate_like,Co-O-P,broad_family_polyanion,8,C_broad_fallback,Google Scholar,polyanion phosphate sodium ion battery cathode,https://scholar.google.com/scholar?q=polyanion+phosphate+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,True,search_if_needed,polyanion phosphate sodium ion battery cathode
Na_candidate_08,8,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,polyanion_phosphate_like,F-Mn-O-P,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,Na2MnPO4F sodium ion battery cathode,https://scholar.google.com/scholar?q=Na2MnPO4F+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,True,search_this_first,na2mnpo4f sodium ion battery cathode
Na_candidate_08,8,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,polyanion_phosphate_like,F-Mn-O-P,_exact_formula_electrode,2,A_try_first,Google Scholar,Na2MnPO4F electrode cathode,https://scholar.google.com/scholar?q=Na2MnPO4F+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,True,search_this_first,na2mnpo4f electrode cathode
Na_candidate_08,8,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,polyanion_phosphate_like,F-Mn-O-P,quoted_literature_formula,3,B_try_second,Google Scholar,"""Na2MnPO4F"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22Na2MnPO4F%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,True,search_if_needed,"""na2mnpo4f"" sodium ion battery cathode"
Na_candidate_08,8,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,polyanion_phosphate_like,F-Mn-O-P,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxMnPO4F sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxMnPO4F+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,True,search_if_needed,naxmnpo4f sodium ion battery cathode
